Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 1110 	| explore_rate: 0.13 	| return: 16.127
episode: 1120 	| explore_rate: 0.126 	| return: 15.796
episode: 1130 	| explore_rate: 0.123 	| return: 15.943
episode: 1140 	| explore_rate: 0.119 	| return: 15.975
episode: 1150 	| explore_rate: 0.115 	| return: 15.404
episode: 1160 	| explore_rate: 0.111 	| return: 15.791
episode: 1170 	| explore_rate: 0.108 	| return: 15.116
episode: 1180 	| explore_rate: 0.104 	| return: 15.914
episode: 1190 	| explore_rate: 0.1 	| return: 15.321
episode: 1200 	| explore_rate: 0.097 	| return: 15.517
episode: 1210 	| explore_rate: 0.093 	| return: 15.871
episode: 1220 	| explore_rate: 0.089 	| return: 15.796
episode: 1230 	| explore_rate: 0.086 	| return: 15.438
episode: 1240 	| explore_rate: 0.082 	| return: 16.078
episode: 1250 	| explore_rate: 0.079 	| return: 16.133
episode: 1260 	| explore_rate: 0.075 	| return: 15.796
episode: 1270 	| explore_rate: 0.072 	| return: 15.796
episode: 1280 	| explore_rate: 0.069 	| return: 15.229
episode: 1290 	| explore_rate: 0.065 	| return: 15.796
episode: 1300 	| explore_rate: 0.062 	| return: 15.117
episode: 1310 	| explore_rate: 0.058 	| return: 15.796
episode: 1320 	| explore_rate: 0.055 	| return: 15.859
episode: 1330 	| explore_rate: 0.052 	| return: 15.868
episode: 1340 	| explore_rate: 0.049 	| return: 15.788
episode: 1350 	| explore_rate: 0.045 	| return: 15.931
episode: 1360 	| explore_rate: 0.042 	| return: 15.92
episode: 1370 	| explore_rate: 0.039 	| return: 15.321
episode: 1380 	| explore_rate: 0.036 	| return: 15.796
episode: 1390 	| explore_rate: 0.033 	| return: 15.796
episode: 1400 	| explore_rate: 0.03 	| return: 15.796
episode: 1410 	| explore_rate: 0.027 	| return: 15.796
episode: 1420 	| explore_rate: 0.023 	| return: 15.796
episode: 1430 	| explore_rate: 0.02 	| return: 15.796
episode: 1440 	| explore_rate: 0.017 	| return: 15.002
episode: 1450 	| explore_rate: 0.014 	| return: 15.796
