exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
qlearning_micZ140.0	-0.03	0.0	15.230738594377343	[501.00601381]	501.00601381	[814.11413253]	814.11413253	306.0
qlearning_micZ140.1	0.0	0.0	14.259834615285843	[604.2944531]	604.2944531	[1879.68666291]	1879.68666291	756.0
qlearning_micZ140.2	0.02	0.0	11.872186077931795	[1644.30984508 3629.39825039 3736.34285135 3969.65576742 4119.63650021 4318.68838571 4492.79398858 4671.18102793 4860.80617259 5025.73991143 5182.12809392]	1644.30984508	[]	N/A	1494.0
