exp_ID	alpha_EZ	alpha_ZE
rational_micZ140.0	-0.03	-0.05
rational_micZ140.1	-0.03	-0.03333333333333334
rational_micZ140.2	-0.03	-0.01666666666666667
rational_micZ140.3	-0.03	0.0
rational_micZ140.4	-0.03	0.0033333333333333335
rational_micZ140.5	-0.03	0.006666666666666667
rational_micZ140.6	-0.03	0.01
rational_micZ140.7	-0.019999999999999997	-0.05
rational_micZ140.8	-0.019999999999999997	-0.03333333333333334
rational_micZ140.9	-0.019999999999999997	-0.01666666666666667
rational_micZ140.10	-0.019999999999999997	0.0
rational_micZ140.11	-0.019999999999999997	0.0033333333333333335
rational_micZ140.12	-0.019999999999999997	0.006666666666666667
rational_micZ140.13	-0.019999999999999997	0.01
rational_micZ140.14	-0.009999999999999998	-0.05
rational_micZ140.15	-0.009999999999999998	-0.03333333333333334
rational_micZ140.16	-0.009999999999999998	-0.01666666666666667
rational_micZ140.17	-0.009999999999999998	0.0
rational_micZ140.18	-0.009999999999999998	0.0033333333333333335
rational_micZ140.19	-0.009999999999999998	0.006666666666666667
rational_micZ140.20	-0.009999999999999998	0.01
rational_micZ140.21	0.0	-0.05
rational_micZ140.22	0.0	-0.03333333333333334
rational_micZ140.23	0.0	-0.01666666666666667
rational_micZ140.24	0.0	0.0
rational_micZ140.25	0.0	0.0033333333333333335
rational_micZ140.26	0.0	0.006666666666666667
rational_micZ140.27	0.0	0.01
rational_micZ140.28	0.006666666666666667	-0.05
rational_micZ140.29	0.006666666666666667	-0.03333333333333334
rational_micZ140.30	0.006666666666666667	-0.01666666666666667
rational_micZ140.31	0.006666666666666667	0.0
rational_micZ140.32	0.006666666666666667	0.0033333333333333335
rational_micZ140.33	0.006666666666666667	0.006666666666666667
rational_micZ140.34	0.006666666666666667	0.01
rational_micZ140.35	0.013333333333333334	-0.05
rational_micZ140.36	0.013333333333333334	-0.03333333333333334
rational_micZ140.37	0.013333333333333334	-0.01666666666666667
rational_micZ140.38	0.013333333333333334	0.0
rational_micZ140.39	0.013333333333333334	0.0033333333333333335
rational_micZ140.40	0.013333333333333334	0.006666666666666667
rational_micZ140.41	0.013333333333333334	0.01
rational_micZ140.42	0.02	-0.05
rational_micZ140.43	0.02	-0.03333333333333334
rational_micZ140.44	0.02	-0.01666666666666667
rational_micZ140.45	0.02	0.0
rational_micZ140.46	0.02	0.0033333333333333335
rational_micZ140.47	0.02	0.006666666666666667
rational_micZ140.48	0.02	0.01
