exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ140.0	-0.03	-0.05	14.961256735446494	[573.41031985]	573.41031985	[1077.10446261]	1077.10446261	360.0
rational_micZ140.1	-0.03	-0.03333333333333334	15.09358383907271	[530.10369351]	530.10369351	[935.32815554]	935.32815554	360.0
rational_micZ140.2	-0.03	-0.01666666666666667	15.116934677022964	[522.00343355]	522.00343355	[901.30811698]	901.30811698	360.0
rational_micZ140.3	-0.03	0.0	15.126892761558231	[518.33171441]	518.33171441	[880.62517553]	880.62517553	360.0
rational_micZ140.4	-0.03	0.0033333333333333335	15.128239232850712	[517.82358833]	517.82358833	[877.15673357]	877.15673357	360.0
rational_micZ140.5	-0.03	0.006666666666666667	15.129448006913002	[517.36491973]	517.36491973	[873.8530901]	873.8530901	360.0
rational_micZ140.6	-0.03	0.01	15.130539238311513	[516.94878114]	516.94878114	[870.69728259]	870.69728259	360.0
rational_micZ140.7	-0.019999999999999997	-0.05	14.676639232688046	[670.09986536]	670.09986536	[1284.65725748]	1284.65725748	450.0
rational_micZ140.8	-0.019999999999999997	-0.03333333333333334	14.795132315085606	[597.31328742]	597.31328742	[1230.58013251]	1230.58013251	450.0
rational_micZ140.9	-0.019999999999999997	-0.01666666666666667	14.824793812118603	[586.43240208]	586.43240208	[1205.62514483]	1205.62514483	450.0
rational_micZ140.10	-0.019999999999999997	0.0	14.839065332144427	[581.37472755]	581.37472755	[1186.50368111]	1186.50368111	450.0
rational_micZ140.11	-0.019999999999999997	0.0033333333333333335	14.841090284381774	[580.6613179]	580.6613179	[1183.05925464]	1183.05925464	450.0
rational_micZ140.12	-0.019999999999999997	0.006666666666666667	14.842929614630318	[580.01379931]	580.01379931	[1179.70668747]	1179.70668747	450.0
rational_micZ140.13	-0.019999999999999997	0.01	14.844608109707675	[579.42320795]	579.42320795	[1176.43507044]	1176.43507044	450.0
rational_micZ140.14	-0.009999999999999998	-0.05	14.414316402625015	[842.52009971]	842.52009971	[1627.35649062]	1627.35649062	540.0
rational_micZ140.15	-0.009999999999999998	-0.03333333333333334	14.481830026474302	[821.91213852]	821.91213852	[1602.80176207]	1602.80176207	540.0
rational_micZ140.16	-0.009999999999999998	-0.01666666666666667	14.50185948785761	[815.86757142]	815.86757142	[1590.00281399]	1590.00281399	540.0
rational_micZ140.17	-0.009999999999999998	0.0	14.512203670483977	[812.28651673]	812.28651673	[1579.41847459]	1579.41847459	540.0
rational_micZ140.18	-0.009999999999999998	0.0033333333333333335	14.51371518750292	[811.72037875]	811.72037875	[1577.45329827]	1577.45329827	540.0
rational_micZ140.19	-0.009999999999999998	0.006666666666666667	14.515098249773446	[811.19051584]	811.19051584	[1575.52724267]	1575.52724267	540.0
rational_micZ140.20	-0.009999999999999998	0.01	14.516368943647091	[810.69299912]	810.69299912	[1573.63687153]	1573.63687153	540.0
