exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first	tTiny	tTiny_first
rational_micZ100.0	-0.03	-0.05	[560.6934891]	560.6934891	[1284.90091194]	1284.90091194
rational_micZ100.1	-0.03	-0.03333333333333334	[528.41515592]	528.41515592	[1244.66598828]	1244.66598828
rational_micZ100.2	-0.03	-0.01666666666666667	[502.71020302]	502.71020302	[1214.12987219]	1214.12987219
rational_micZ100.3	-0.03	0.0	[480.34338254]	480.34338254	[1188.27063508]	1188.27063508
rational_micZ100.4	-0.03	0.0033333333333333335	[476.15147589]	476.15147589	[1183.46327721]	1183.46327721
rational_micZ100.5	-0.03	0.006666666666666667	[472.03012503]	472.03012503	[1178.74209323]	1178.74209323
rational_micZ100.6	-0.03	0.01	[467.96968377]	467.96968377	[1174.09263731]	1174.09263731
rational_micZ100.7	-0.019999999999999997	-0.05	[780.90674939]	780.90674939	[1593.26647713]	1593.26647713
rational_micZ100.8	-0.019999999999999997	-0.03333333333333334	[612.04994216]	612.04994216	[1561.46896311]	1561.46896311
rational_micZ100.9	-0.019999999999999997	-0.01666666666666667	[579.51953116]	579.51953116	[1533.14427642]	1533.14427642
rational_micZ100.10	-0.019999999999999997	0.0	[558.91252983]	558.91252983	[1505.0577216]	1505.0577216
rational_micZ100.11	-0.019999999999999997	0.0033333333333333335	[555.55019492]	555.55019492	[1499.00635014]	1499.00635014
rational_micZ100.12	-0.019999999999999997	0.006666666666666667	[552.37709825]	552.37709825	[1492.60053672]	1492.60053672
rational_micZ100.13	-0.019999999999999997	0.01	[549.3745777]	549.3745777	[1485.63780598]	1485.63780598
rational_micZ100.14	-0.009999999999999998	-0.05	[866.6084184]	866.6084184	[1932.61005354]	1932.61005354
rational_micZ100.15	-0.009999999999999998	-0.03333333333333334	[851.66458056]	851.66458056	[1914.30395802]	1914.30395802
rational_micZ100.16	-0.009999999999999998	-0.01666666666666667	[838.02577435]	838.02577435	[1897.48665306]	1897.48665306
rational_micZ100.17	-0.009999999999999998	0.0	[825.18815175]	825.18815175	[1880.9842874]	1880.9842874
rational_micZ100.18	-0.009999999999999998	0.0033333333333333335	[822.67303667]	822.67303667	[1877.60846212]	1877.60846212
rational_micZ100.19	-0.009999999999999998	0.006666666666666667	[820.16629211]	820.16629211	[1874.17578172]	1874.17578172
rational_micZ100.20	-0.009999999999999998	0.01	[817.66390892]	817.66390892	[1870.66761954]	1870.66761954
rational_micZ100.21	0.0	-0.05	[919.29455393]	919.29455393	[2319.49295471]	2319.49295471
rational_micZ100.22	0.0	-0.03333333333333334	[919.29455393]	919.29455393	[2319.49295472]	2319.49295472
rational_micZ100.23	0.0	-0.01666666666666667	[919.29455393]	919.29455393	[2319.49295472]	2319.49295472
rational_micZ100.24	0.0	0.0	[919.29455393]	919.29455393	[2319.49295471]	2319.49295471
rational_micZ100.25	0.0	0.0033333333333333335	[919.29455393]	919.29455393	[2319.49295471]	2319.49295471
rational_micZ100.26	0.0	0.006666666666666667	[919.29455393]	919.29455393	[2319.49295471]	2319.49295471
rational_micZ100.27	0.0	0.01	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547
rational_micZ100.28	0.006666666666666667	-0.05	[ 955.58692211 1094.77580649 1141.86593994]	955.58692211	[2684.93511827]	2684.93511827
rational_micZ100.29	0.006666666666666667	-0.03333333333333334	[ 971.07437411 1074.40632116 1165.56293015]	971.07437411	[2694.91051589]	2694.91051589
rational_micZ100.30	0.006666666666666667	-0.01666666666666667	[ 991.25219726 1053.59192504 1180.61782406]	991.25219726	[2703.72852366]	2703.72852366
rational_micZ100.31	0.006666666666666667	0.0	[1192.86038347]	1192.86038347	[2712.5777987]	2712.5777987
rational_micZ100.32	0.006666666666666667	0.0033333333333333335	[1195.12231691]	1195.12231691	[2714.39997648]	2714.39997648
rational_micZ100.33	0.006666666666666667	0.006666666666666667	[1197.33921416]	1197.33921416	[2716.24598928]	2716.24598928
rational_micZ100.34	0.006666666666666667	0.01	[1199.51634687]	1199.51634687	[2718.11853537]	2718.11853537
rational_micZ100.35	0.013333333333333334	-0.05	[1209.30492656]	1209.30492656	[3106.07039765 3255.08611021 3323.15490723]	3106.07039765
rational_micZ100.36	0.013333333333333334	-0.03333333333333334	[1230.39003852]	1230.39003852	[3138.35325649 3221.28332221 3358.51999549]	3138.35325649
rational_micZ100.37	0.013333333333333334	-0.01666666666666667	[1247.77040442]	1247.77040442	[3382.28097459]	3382.28097459
rational_micZ100.38	0.013333333333333334	0.0	[1263.90631567]	1263.90631567	[3402.84168632]	3402.84168632
rational_micZ100.39	0.013333333333333334	0.0033333333333333335	[1267.241026]	1267.241026	[3406.78762039]	3406.78762039
rational_micZ100.40	0.013333333333333334	0.006666666666666667	[1270.68547185]	1270.68547185	[3410.70443374]	3410.70443374
