episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	6.382890346062489	3819.55991859543	N/A	1125.0
1	1.0	6.943451835610049	5673.230922456394	N/A	1224.0
2	1.0	6.113187106883141	4907.564382320786	N/A	1206.0
3	1.0	4.786801397071083	N/A	N/A	1089.0
4	1.0	4.72282141922331	N/A	N/A	1008.0
5	1.0	0.0	N/A	N/A	0.0
6	1.0	6.009747950636025	955.5281468092766	N/A	1170.0
7	1.0	9.192767673233726	3076.9302156251247	N/A	1422.0
8	1.0	4.972214641915685	3135.83219194751	N/A	1098.0
9	1.0	4.867641445388436	N/A	N/A	1098.0
10	1.0	8.256020850154055	2757.5057453686795	N/A	1332.0
11	1.0	0.0	N/A	N/A	0.0
12	1.0	6.070522240870263	N/A	N/A	1269.0
13	1.0	0.0	N/A	N/A	0.0
14	1.0	8.318778895767377	2676.208199722387	N/A	1413.0
15	1.0	8.383314940203347	1676.344070012671	N/A	1377.0
16	1.0	8.050659971558837	N/A	N/A	1377.0
17	1.0	6.852739712078038	5201.511680843383	N/A	1224.0
18	1.0	8.327407629209508	3827.244794030707	N/A	1386.0
19	1.0	6.188547367339878	1291.4176187986172	N/A	1215.0
20	1.0	8.251440915650925	1337.7336530734206	N/A	1377.0
21	1.0	9.77181809741708	1306.4773993420965	N/A	1530.0
22	1.0	4.2804942846978555	N/A	N/A	1062.0
23	1.0	6.363634861837339	912.2902809515153	N/A	1215.0
24	1.0	7.646006906808404	2728.713762035514	N/A	1260.0
25	1.0	4.43561262865597	N/A	N/A	972.0
26	1.0	0.0	N/A	N/A	0.0
27	1.0	0.0	N/A	N/A	0.0
28	1.0	0.0	N/A	N/A	0.0
29	1.0	6.686231472586246	N/A	N/A	1287.0
30	1.0	8.497089365956162	2743.952088391854	N/A	1368.0
31	1.0	6.50353365612281	1330.0485308087991	N/A	1179.0
32	1.0	4.380873115268621	N/A	N/A	1044.0
33	1.0	6.9591633869924046	7132.461546380221	N/A	1296.0
34	1.0	5.948257316269776	N/A	N/A	1215.0
35	1.0	0.0	N/A	N/A	0.0
36	1.0	9.380581381474492	3424.3352376971557	N/A	1422.0
37	1.0	5.502169997649688	N/A	N/A	1152.0
38	1.0	8.715290028389807	3034.124718072267	N/A	1404.0
39	1.0	9.741496797062295	2690.9892730196652	N/A	1467.0
40	1.0	6.070570015512886	N/A	N/A	1242.0
41	1.0	8.083102700420838	955.5281468092766	N/A	1449.0
42	1.0	0.0	N/A	N/A	0.0
43	1.0	7.025183941053439	2412.9911169265743	N/A	1332.0
44	1.0	5.425036409325536	4515.7961195761	N/A	1125.0
45	1.0	0.0	N/A	N/A	0.0
46	1.0	4.627874483549246	N/A	N/A	1107.0
47	1.0	8.742377361375185	2332.9335217682037	N/A	1395.0
48	1.0	5.9397028847248965	N/A	N/A	1197.0
49	1.0	8.748497699377435	5613.632906235964	N/A	1359.0
50	1.0	6.5608881781494235	3770.7703056192454	N/A	1242.0
51	1.0	0.0	N/A	N/A	0.0
52	1.0	6.906066877796581	1348.9853311039767	N/A	1251.0
53	1.0	2.2698146301183852	N/A	N/A	873.0
54	1.0	7.8452675254752835	N/A	N/A	1359.0
55	1.0	0.0	N/A	N/A	0.0
56	1.0	7.02230117584608	N/A	N/A	1287.0
57	1.0	7.783765503639349	6053.318984243848	N/A	1359.0
58	1.0	4.194177000264262	N/A	N/A	990.0
59	1.0	7.437399657208584	1283.0692908758554	N/A	1314.0
60	1.0	8.481611663288525	4172.385750714935	N/A	1458.0
61	1.0	6.736328087626252	N/A	N/A	1260.0
62	1.0	0.0	N/A	N/A	0.0
63	1.0	7.045191956032999	N/A	N/A	1305.0
64	1.0	0.0	N/A	N/A	0.0
65	1.0	6.0030801909767435	1706.8637004978573	N/A	1224.0
66	1.0	7.680297344268804	2668.029265275543	N/A	1332.0
67	1.0	6.994730778764026	3790.2607483493775	N/A	1278.0
68	1.0	0.0	N/A	N/A	0.0
69	1.0	6.923163091823101	1956.2860563553768	N/A	1179.0
70	1.0	8.881153138408916	2747.6386082788767	N/A	1413.0
71	1.0	5.5017125696742655	N/A	N/A	1188.0
72	1.0	5.350030098161147	N/A	N/A	1143.0
73	1.0	5.673068212367633	N/A	N/A	1215.0
74	1.0	5.002857057892005	N/A	N/A	1116.0
75	1.0	6.361320315144643	N/A	N/A	1143.0
76	1.0	5.3334583232041615	N/A	N/A	1188.0
77	1.0	8.49499587337997	1306.4773993420965	N/A	1413.0
78	1.0	9.985603594914082	1643.4284523896863	N/A	1503.0
79	1.0	9.902486046378439	2750.684642856882	N/A	1503.0
80	1.0	0.0	N/A	N/A	0.0
81	1.0	8.55723293172085	1330.0485308087991	N/A	1440.0
82	1.0	6.820959595386424	4892.467248666101	N/A	1242.0
83	1.0	4.501705578969714	N/A	N/A	1080.0
84	1.0	0.0	N/A	N/A	0.0
85	1.0	5.295286613202151	N/A	N/A	1089.0
86	1.0	8.094158871206625	2787.297341453001	N/A	1377.0
87	1.0	5.410319102682701	3889.562340344032	N/A	1098.0
88	1.0	5.103913677076539	N/A	N/A	1143.0
89	1.0	4.472390371047557	N/A	N/A	1098.0
90	1.0	6.366517596943805	4512.165285621092	N/A	1260.0
91	1.0	6.492156965220155	N/A	N/A	1242.0
92	1.0	8.717209822028726	N/A	N/A	1422.0
93	1.0	8.061740607600795	4220.993815861363	N/A	1359.0
94	1.0	7.909722550166451	4123.409134774142	N/A	1314.0
95	1.0	7.565269329104963	4117.765297436222	N/A	1269.0
96	1.0	4.923558526907752	N/A	N/A	1125.0
97	1.0	4.303543051913638	N/A	N/A	1098.0
98	1.0	11.14144699526142	3091.9812642721254	N/A	1593.0
99	1.0	9.129473565560058	4835.534560419091	N/A	1476.0
100	1.0	8.577580104081399	1338.7260773881953	N/A	1377.0
101	1.0	6.598802690337415	1235.754341523831	N/A	1206.0
102	1.0	5.285079298526371	5144.623308120969	N/A	1170.0
103	1.0	2.724425208508751	N/A	N/A	918.0
104	1.0	7.384804714791414	7048.461493778876	N/A	1332.0
105	1.0	0.0	N/A	N/A	0.0
106	1.0	8.76016398265395	N/A	N/A	1422.0
107	1.0	5.261434931618793	6712.305148178909	N/A	1080.0
108	1.0	0.0	N/A	N/A	0.0
109	1.0	6.609278122749758	N/A	N/A	1269.0
110	1.0	5.456275628530818	N/A	N/A	1107.0
111	1.0	6.741970709368791	N/A	N/A	1215.0
112	1.0	3.562808463278903	N/A	N/A	981.0
113	1.0	7.584819566058219	N/A	N/A	1350.0
114	1.0	6.989024301575003	3171.808361240781	N/A	1332.0
115	1.0	1.913743126365372	N/A	N/A	747.0
116	1.0	8.12022256044397	955.5281468092766	N/A	1377.0
117	1.0	6.347188344149582	3501.5903552369236	N/A	1161.0
118	1.0	6.03923142774851	2731.363318162604	N/A	1143.0
119	1.0	0.0	N/A	N/A	0.0
120	1.0	6.988378147528175	N/A	N/A	1269.0
121	1.0	6.040100619253983	5230.687172259627	N/A	1197.0
122	1.0	0.0	N/A	N/A	0.0
123	1.0	8.746307095323976	3782.743515379345	N/A	1395.0
124	1.0	4.6801711684996485	N/A	N/A	1080.0
125	1.0	7.908559376624243	N/A	N/A	1395.0
126	1.0	8.837358366014167	N/A	N/A	1458.0
127	1.0	8.27714219284156	1959.1811864872968	N/A	1404.0
128	1.0	6.582190427474137	N/A	N/A	1287.0
129	1.0	7.657362606540993	N/A	N/A	1377.0
130	1.0	4.030757525460499	N/A	N/A	981.0
131	1.0	5.699433078839973	2321.9179746034	N/A	1161.0
132	1.0	7.005685832856722	3792.9445428651134	N/A	1296.0
133	1.0	5.613896809797963	2791.7938118529332	N/A	1134.0
134	1.0	8.407230083739284	N/A	N/A	1404.0
135	1.0	5.443176889306445	N/A	N/A	1161.0
136	1.0	3.114455351900098	N/A	N/A	891.0
137	1.0	6.866899167812629	2752.3973331779325	N/A	1197.0
138	1.0	6.884329861542563	912.2902809515153	N/A	1197.0
139	1.0	7.409894154672996	1652.7688299127124	N/A	1287.0
140	1.0	0.0	N/A	N/A	0.0
141	1.0	6.0624887243366965	N/A	N/A	1179.0
142	1.0	6.933134591286762	5210.926120650918	N/A	1314.0
143	1.0	6.277060644343557	N/A	N/A	1206.0
144	1.0	7.638079434635616	6717.699242069419	N/A	1332.0
145	1.0	0.0	N/A	N/A	0.0
146	1.0	11.448223616620423	2369.92476863845	N/A	1602.0
147	1.0	3.7373147087624616	N/A	N/A	909.0
148	1.0	5.406982247251082	6676.31764767881	N/A	1161.0
149	1.0	9.138599386654953	2027.2645875523824	N/A	1386.0
150	0.9971143117625119	8.39731394604217	2729.079437881174	N/A	1422.0
151	0.9942476711109086	7.168112291753173	1999.781794702367	N/A	1332.0
152	0.9913998282380825	0.0	N/A	N/A	0.0
153	0.9885705382192183	7.361914426789529	2309.083488547839	N/A	1296.0
154	0.9857595608853897	0.0	N/A	N/A	0.0
155	0.9829666607012196	4.144242345041526	N/A	N/A	1062.0
156	0.9801916066464476	8.474593393052924	5981.852789838825	N/A	1395.0
157	0.9774341721012587	5.467561823991161	6049.204485772944	N/A	1197.0
158	0.9746941347352297	7.505895481609012	4593.083131611465	N/A	1341.0
159	0.9719712763997564	0.0	N/A	N/A	0.0
160	0.9692653830238316	6.425996115789979	N/A	N/A	1260.0
161	0.9665762445130502	6.143347423077737	N/A	N/A	1179.0
162	0.9639036546517235	0.0	N/A	N/A	0.0
163	0.9612474110079834	11.16986420707424	1227.20617450157	N/A	1638.0
164	0.958607314841775	6.063502796455115	N/A	N/A	1116.0
165	0.9559831710156261	0.0	N/A	N/A	0.0
166	0.9533747879080979	7.982632452033562	3823.401082449127	N/A	1350.0
167	0.9507819773298184	10.015209963903262	2636.8711392162922	N/A	1512.0
168	0.9482045544420077	9.544178718801357	1272.797538018184	N/A	1467.0
169	0.9456423376774074	6.7290124785954815	N/A	N/A	1260.0
170	0.9430951486635275	5.411988786015052	N/A	N/A	1152.0
171	0.9405628121481323	8.26091079962134	3731.705077742254	N/A	1413.0
172	0.9380451559268859	6.967320178710139	N/A	N/A	1350.0
173	0.9355420107730815	8.918731100408717	2704.2785689386856	N/A	1485.0
174	0.9330532103693868	5.281305116976726	N/A	N/A	1098.0
175	0.9305785912415314	0.0	N/A	N/A	0.0
176	0.9281179926938746	6.966637663534376	7000.430871259704	N/A	1350.0
177	0.9256712567467873	9.4598596040907	N/A	N/A	1458.0
178	0.923238228075788	6.739068833233448	5269.848890036779	N/A	1332.0
179	0.9208187539523752	6.420724969713407	N/A	N/A	1269.0
180	0.9184126841864967	9.348071146515231	5208.6864020330195	N/A	1458.0
181	0.9160198710706065	7.641427606173217	5976.120927816193	N/A	1359.0
182	0.9136401693252518	11.480113175993925	2397.4415638768082	N/A	1602.0
183	0.9112734360461449	10.296609801473547	2306.334846929551	N/A	1485.0
184	0.9089195306526674	6.654721272300981	N/A	N/A	1305.0
185	0.906578314837765	0.0	N/A	N/A	0.0
186	0.9042496525191823	7.198126217152317	6343.236168045833	N/A	1287.0
187	0.9019334097920013	0.0	N/A	N/A	0.0
188	0.8996294548824371	10.359485320433592	912.2902809515153	N/A	1494.0
189	0.8973376581028523	6.032682454935199	N/A	N/A	1260.0
190	0.8950578918079537	8.85941605641975	2255.3646614631707	N/A	1431.0
191	0.8927900303521317	7.924881360849947	N/A	N/A	1404.0
192	0.8905339500479075	7.861563922641184	2423.737826924854	N/A	1350.0
