exp_ID	alpha_EZ	alpha_ZE
rational_MIC12.0	-0.03	-0.05
rational_MIC12.1	-0.03	-0.03333333333333334
rational_MIC12.2	-0.03	-0.01666666666666667
rational_MIC12.3	-0.03	0.0
rational_MIC12.4	-0.03	0.0033333333333333335
rational_MIC12.5	-0.03	0.006666666666666667
rational_MIC12.6	-0.03	0.01
rational_MIC12.7	-0.019999999999999997	-0.05
rational_MIC12.8	-0.019999999999999997	-0.03333333333333334
rational_MIC12.9	-0.019999999999999997	-0.01666666666666667
rational_MIC12.10	-0.019999999999999997	0.0
rational_MIC12.11	-0.019999999999999997	0.0033333333333333335
rational_MIC12.12	-0.019999999999999997	0.006666666666666667
rational_MIC12.13	-0.019999999999999997	0.01
rational_MIC12.14	-0.009999999999999998	-0.05
rational_MIC12.15	-0.009999999999999998	-0.03333333333333334
rational_MIC12.16	-0.009999999999999998	-0.01666666666666667
rational_MIC12.17	-0.009999999999999998	0.0
rational_MIC12.18	-0.009999999999999998	0.0033333333333333335
rational_MIC12.19	-0.009999999999999998	0.006666666666666667
rational_MIC12.20	-0.009999999999999998	0.01
rational_MIC12.21	0.0	-0.05
rational_MIC12.22	0.0	-0.03333333333333334
rational_MIC12.23	0.0	-0.01666666666666667
rational_MIC12.24	0.0	0.0
rational_MIC12.25	0.0	0.0033333333333333335
rational_MIC12.26	0.0	0.006666666666666667
rational_MIC12.27	0.0	0.01
rational_MIC12.28	0.006666666666666667	-0.05
rational_MIC12.29	0.006666666666666667	-0.03333333333333334
rational_MIC12.30	0.006666666666666667	-0.01666666666666667
rational_MIC12.31	0.006666666666666667	0.0
rational_MIC12.32	0.006666666666666667	0.0033333333333333335
rational_MIC12.33	0.006666666666666667	0.006666666666666667
rational_MIC12.34	0.006666666666666667	0.01
rational_MIC12.35	0.013333333333333334	-0.05
rational_MIC12.36	0.013333333333333334	-0.03333333333333334
rational_MIC12.37	0.013333333333333334	-0.01666666666666667
rational_MIC12.38	0.013333333333333334	0.0
rational_MIC12.39	0.013333333333333334	0.0033333333333333335
rational_MIC12.40	0.013333333333333334	0.006666666666666667
rational_MIC12.41	0.013333333333333334	0.01
rational_MIC12.42	0.02	-0.05
rational_MIC12.43	0.02	-0.03333333333333334
rational_MIC12.44	0.02	-0.01666666666666667
rational_MIC12.45	0.02	0.0
rational_MIC12.46	0.02	0.0033333333333333335
rational_MIC12.47	0.02	0.006666666666666667
rational_MIC12.48	0.02	0.01
