Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 1110 	| explore_rate: 0.431 	| return: 15.75
episode: 1120 	| explore_rate: 0.428 	| return: 14.228
episode: 1130 	| explore_rate: 0.424 	| return: 17.144
episode: 1140 	| explore_rate: 0.42 	| return: 14.824
episode: 1150 	| explore_rate: 0.416 	| return: 0.0
episode: 1160 	| explore_rate: 0.412 	| return: 17.274
episode: 1170 	| explore_rate: 0.409 	| return: 16.636
episode: 1180 	| explore_rate: 0.405 	| return: 18.083
episode: 1190 	| explore_rate: 0.401 	| return: 17.024
episode: 1200 	| explore_rate: 0.398 	| return: 16.414
episode: 1210 	| explore_rate: 0.394 	| return: 15.534
episode: 1220 	| explore_rate: 0.39 	| return: 15.484
episode: 1230 	| explore_rate: 0.387 	| return: 16.122
episode: 1240 	| explore_rate: 0.383 	| return: 16.704
episode: 1250 	| explore_rate: 0.38 	| return: 15.995
episode: 1260 	| explore_rate: 0.376 	| return: 17.25
episode: 1270 	| explore_rate: 0.373 	| return: 15.598
episode: 1280 	| explore_rate: 0.37 	| return: 17.833
episode: 1290 	| explore_rate: 0.366 	| return: 16.748
episode: 1300 	| explore_rate: 0.363 	| return: 17.311
episode: 1310 	| explore_rate: 0.36 	| return: 17.81
episode: 1320 	| explore_rate: 0.356 	| return: 17.716
episode: 1330 	| explore_rate: 0.353 	| return: 0.0
episode: 1340 	| explore_rate: 0.35 	| return: 17.716
episode: 1350 	| explore_rate: 0.346 	| return: 18.0
episode: 1360 	| explore_rate: 0.343 	| return: 17.646
episode: 1370 	| explore_rate: 0.34 	| return: 0.0
episode: 1380 	| explore_rate: 0.337 	| return: 17.514
episode: 1390 	| explore_rate: 0.334 	| return: 15.526
episode: 1400 	| explore_rate: 0.331 	| return: 16.091
episode: 1410 	| explore_rate: 0.328 	| return: 17.583
episode: 1420 	| explore_rate: 0.325 	| return: 16.669
episode: 1430 	| explore_rate: 0.321 	| return: 13.997
episode: 1440 	| explore_rate: 0.318 	| return: 16.933
episode: 1450 	| explore_rate: 0.315 	| return: 16.988
episode: 1460 	| explore_rate: 0.312 	| return: 15.53
episode: 1470 	| explore_rate: 0.31 	| return: 17.466
episode: 1480 	| explore_rate: 0.307 	| return: 16.994
episode: 1490 	| explore_rate: 0.304 	| return: 16.462
episode: 1500 	| explore_rate: 0.301 	| return: 16.567
episode: 1510 	| explore_rate: 0.298 	| return: 15.854
episode: 1520 	| explore_rate: 0.295 	| return: 15.445
episode: 1530 	| explore_rate: 0.292 	| return: 16.522
episode: 1540 	| explore_rate: 0.289 	| return: 15.749
episode: 1550 	| explore_rate: 0.287 	| return: 17.2
episode: 1560 	| explore_rate: 0.284 	| return: 17.583
episode: 1570 	| explore_rate: 0.281 	| return: 0.0
episode: 1580 	| explore_rate: 0.278 	| return: 0.0
