exp_ID	alpha_EZ	alpha_ZE
rational_micEZ70.0	-0.03	-0.05
rational_micEZ70.1	-0.03	-0.03333333333333334
rational_micEZ70.2	-0.03	-0.01666666666666667
rational_micEZ70.3	-0.03	0.0
rational_micEZ70.4	-0.03	0.0033333333333333335
rational_micEZ70.5	-0.03	0.006666666666666667
rational_micEZ70.6	-0.03	0.01
rational_micEZ70.7	-0.019999999999999997	-0.05
rational_micEZ70.8	-0.019999999999999997	-0.03333333333333334
rational_micEZ70.9	-0.019999999999999997	-0.01666666666666667
rational_micEZ70.10	-0.019999999999999997	0.0
rational_micEZ70.11	-0.019999999999999997	0.0033333333333333335
rational_micEZ70.12	-0.019999999999999997	0.006666666666666667
rational_micEZ70.13	-0.019999999999999997	0.01
rational_micEZ70.14	-0.009999999999999998	-0.05
rational_micEZ70.15	-0.009999999999999998	-0.03333333333333334
rational_micEZ70.16	-0.009999999999999998	-0.01666666666666667
rational_micEZ70.17	-0.009999999999999998	0.0
rational_micEZ70.18	-0.009999999999999998	0.0033333333333333335
rational_micEZ70.19	-0.009999999999999998	0.006666666666666667
rational_micEZ70.20	-0.009999999999999998	0.01
rational_micEZ70.21	0.0	-0.05
rational_micEZ70.22	0.0	-0.03333333333333334
rational_micEZ70.23	0.0	-0.01666666666666667
rational_micEZ70.24	0.0	0.0
rational_micEZ70.25	0.0	0.0033333333333333335
rational_micEZ70.26	0.0	0.006666666666666667
rational_micEZ70.27	0.0	0.01
rational_micEZ70.28	0.006666666666666667	-0.05
rational_micEZ70.29	0.006666666666666667	-0.03333333333333334
rational_micEZ70.30	0.006666666666666667	-0.01666666666666667
rational_micEZ70.31	0.006666666666666667	0.0
rational_micEZ70.32	0.006666666666666667	0.0033333333333333335
rational_micEZ70.33	0.006666666666666667	0.006666666666666667
rational_micEZ70.34	0.006666666666666667	0.01
rational_micEZ70.35	0.013333333333333334	-0.05
rational_micEZ70.36	0.013333333333333334	-0.03333333333333334
rational_micEZ70.37	0.013333333333333334	-0.01666666666666667
rational_micEZ70.38	0.013333333333333334	0.0
rational_micEZ70.39	0.013333333333333334	0.0033333333333333335
rational_micEZ70.40	0.013333333333333334	0.006666666666666667
rational_micEZ70.41	0.013333333333333334	0.01
rational_micEZ70.42	0.02	-0.05
rational_micEZ70.43	0.02	-0.03333333333333334
rational_micEZ70.44	0.02	-0.01666666666666667
rational_micEZ70.45	0.02	0.0
rational_micEZ70.46	0.02	0.0033333333333333335
rational_micEZ70.47	0.02	0.006666666666666667
rational_micEZ70.48	0.02	0.01
