episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	9.262008456099824	4474.341748321996	N/A	1233.0
1	1.0	9.844958616549196	1300.4969066423878	N/A	1206.0
2	1.0	10.62880302231234	4441.07962269062	N/A	1278.0
3	1.0	9.622214267940798	832.3789776434699	N/A	1188.0
4	1.0	15.379557788449073	1648.6296847524184	3102.061182609051	1512.0
5	1.0	6.2959458835918785	1686.4398612399207	N/A	1008.0
6	1.0	5.614727796161106	N/A	N/A	909.0
7	1.0	0.0	N/A	N/A	0.0
8	1.0	11.107074801662987	927.7507863852354	5681.332066412765	1287.0
9	1.0	7.353126321631822	4147.875822011849	N/A	1053.0
10	1.0	11.36410971938553	1301.2549551095829	N/A	1260.0
11	1.0	11.093738989014996	2202.6205940854525	N/A	1278.0
12	1.0	9.518893803245435	2798.2816969239534	N/A	1161.0
13	1.0	7.527220934958729	N/A	N/A	1134.0
14	1.0	11.062475023687494	1664.8005363083614	N/A	1260.0
15	1.0	14.118829214992225	1583.603103475122	N/A	1422.0
16	1.0	12.73379843973677	2045.0933208084368	4607.7059099599	1377.0
17	1.0	12.282794779062773	1263.47969661371	N/A	1377.0
18	1.0	5.26764893948833	2436.01758996503	N/A	765.0
19	1.0	10.30854911719506	1300.5266960140846	2353.8796788356135	1170.0
20	1.0	11.123476596678133	856.2428197877607	N/A	1305.0
21	1.0	13.174214814184792	1581.0364665701804	N/A	1368.0
22	1.0	0.0	N/A	N/A	0.0
23	1.0	11.2501766172161	1891.4020899907796	N/A	1269.0
24	1.0	9.778850254301119	1255.3117601104257	N/A	1233.0
25	1.0	9.958680188468275	3088.5557647254377	N/A	1269.0
26	1.0	0.0	N/A	N/A	0.0
27	1.0	8.937394243030145	1916.2302694358102	N/A	1215.0
28	1.0	13.094000473615976	1255.3117601104257	N/A	1440.0
29	1.0	10.288196483924262	1647.6507912838729	N/A	1215.0
30	1.0	9.723735117895043	2198.507004715138	3490.5850041468752	1170.0
31	1.0	7.309376051159566	3396.9432746621924	N/A	1017.0
32	1.0	10.92855004667629	3122.1593277364314	N/A	1359.0
33	1.0	9.057172931543517	940.028628981267	N/A	1197.0
34	1.0	9.09944726859795	1553.6388048021329	N/A	1134.0
35	1.0	13.855429273999562	1347.771086230408	N/A	1512.0
36	1.0	8.067864119897802	3324.1745197577093	N/A	1134.0
37	1.0	0.0	N/A	N/A	0.0
38	1.0	13.787954800245915	604.2944530966595	6262.0569653089715	1566.0
39	1.0	15.848207766528688	1318.0827158016862	3813.247147978643	1440.0
40	1.0	9.243156562281035	971.8024446581123	N/A	1152.0
41	1.0	13.263175841942317	971.8024446581123	1920.6303553659538	1530.0
42	1.0	4.2351168929467935	N/A	N/A	855.0
43	1.0	10.859839435531113	2278.6204702121627	N/A	1260.0
