Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 1110 	| explore_rate: 0.431 	| return: 16.55
episode: 1120 	| explore_rate: 0.428 	| return: 16.223
episode: 1130 	| explore_rate: 0.424 	| return: 17.61
episode: 1140 	| explore_rate: 0.42 	| return: 14.604
episode: 1150 	| explore_rate: 0.416 	| return: 13.836
episode: 1160 	| explore_rate: 0.412 	| return: 15.042
episode: 1170 	| explore_rate: 0.409 	| return: 13.741
episode: 1180 	| explore_rate: 0.405 	| return: 14.289
episode: 1190 	| explore_rate: 0.401 	| return: 17.503
episode: 1200 	| explore_rate: 0.398 	| return: 0.0
episode: 1210 	| explore_rate: 0.394 	| return: 16.084
episode: 1220 	| explore_rate: 0.39 	| return: 16.587
episode: 1230 	| explore_rate: 0.387 	| return: 17.743
episode: 1240 	| explore_rate: 0.383 	| return: 17.071
episode: 1250 	| explore_rate: 0.38 	| return: 16.581
episode: 1260 	| explore_rate: 0.376 	| return: 17.396
episode: 1270 	| explore_rate: 0.373 	| return: 17.553
episode: 1280 	| explore_rate: 0.37 	| return: 16.195
episode: 1290 	| explore_rate: 0.366 	| return: 17.21
episode: 1300 	| explore_rate: 0.363 	| return: 0.0
episode: 1310 	| explore_rate: 0.36 	| return: 17.141
episode: 1320 	| explore_rate: 0.356 	| return: 13.177
episode: 1330 	| explore_rate: 0.353 	| return: 18.027
episode: 1340 	| explore_rate: 0.35 	| return: 17.114
episode: 1350 	| explore_rate: 0.346 	| return: 0.0
episode: 1360 	| explore_rate: 0.343 	| return: 16.498
episode: 1370 	| explore_rate: 0.34 	| return: 17.678
episode: 1380 	| explore_rate: 0.337 	| return: 14.66
episode: 1390 	| explore_rate: 0.334 	| return: 15.053
episode: 1400 	| explore_rate: 0.331 	| return: 17.576
episode: 1410 	| explore_rate: 0.328 	| return: 17.777
episode: 1420 	| explore_rate: 0.325 	| return: 17.767
episode: 1430 	| explore_rate: 0.321 	| return: 16.484
episode: 1440 	| explore_rate: 0.318 	| return: 16.664
episode: 1450 	| explore_rate: 0.315 	| return: 15.815
episode: 1460 	| explore_rate: 0.312 	| return: 0.0
episode: 1470 	| explore_rate: 0.31 	| return: 17.02
episode: 1480 	| explore_rate: 0.307 	| return: 16.874
episode: 1490 	| explore_rate: 0.304 	| return: 17.493
episode: 1500 	| explore_rate: 0.301 	| return: 17.001
episode: 1510 	| explore_rate: 0.298 	| return: 16.067
