exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ20.0	-0.03	-0.05	11.453347422547811	[939.2525309]	939.2525309	[2319.2163113]	2319.2163113	810.0
rational_micZ20.1	-0.03	-0.03333333333333334	10.951903836145808	[1206.69993888]	1206.69993888	[2317.62296292]	2317.62296292	810.0
rational_micZ20.2	-0.03	-0.01666666666666667	10.519863556280313	[1249.2530029]	1249.2530029	[2315.92150329]	2315.92150329	810.0
rational_micZ20.3	-0.03	0.0	10.143478699151043	[1277.50248888]	1277.50248888	[2314.15503029]	2314.15503029	810.0
rational_micZ20.4	-0.03	0.0033333333333333335	10.073879264960173	[1282.76127238]	1282.76127238	[2313.79465639]	2313.79465639	810.0
rational_micZ20.5	-0.03	0.006666666666666667	10.005990126099842	[1287.9759412]	1287.9759412	[2313.43316428]	2313.43316428	810.0
rational_micZ20.6	-0.03	0.01	9.939743274298888	[1293.16794437]	1293.16794437	[2313.06985062]	2313.06985062	810.0
rational_micZ20.7	-0.019999999999999997	-0.05	11.52005853349451	[926.14642086]	926.14642086	[2319.39727728]	2319.39727728	810.0
rational_micZ20.8	-0.019999999999999997	-0.03333333333333334	11.335973535662067	[965.24837351]	965.24837351	[2318.83102915]	2318.83102915	810.0
rational_micZ20.9	-0.019999999999999997	-0.01666666666666667	11.164807910708067	[1175.53544467]	1175.53544467	[2318.17929748]	2318.17929748	810.0
rational_micZ20.10	-0.019999999999999997	0.0	11.006526487771598	[1201.23796074]	1201.23796074	[2317.44199773]	2317.44199773	810.0
rational_micZ20.11	-0.019999999999999997	0.0033333333333333335	10.976388847385612	[1205.35503306]	1205.35503306	[2317.2831704]	2317.2831704	810.0
rational_micZ20.12	-0.019999999999999997	0.006666666666666667	10.946748068997973	[1209.23837408]	1209.23837408	[2317.12105583]	2317.12105583	810.0
rational_micZ20.13	-0.019999999999999997	0.01	10.917600228804488	[1212.91424785]	1212.91424785	[2316.95506237]	2316.95506237	810.0
rational_micZ20.14	-0.009999999999999998	-0.05	11.543697299143272	[921.60680726]	921.60680726	[2319.46065853]	2319.46065853	810.0
rational_micZ20.15	-0.009999999999999998	-0.03333333333333334	11.480175345508748	[934.0255841]	934.0255841	[2319.26668644]	2319.26668644	810.0
rational_micZ20.16	-0.009999999999999998	-0.01666666666666667	11.419291585735403	[946.72128825]	946.72128825	[2319.03007094]	2319.03007094	810.0
rational_micZ20.17	-0.009999999999999998	0.0	11.36156151422418	[960.13813019]	960.13813019	[2318.73693849]	2318.73693849	810.0
rational_micZ20.18	-0.009999999999999998	0.0033333333333333335	11.35043933041109	[962.96654975]	962.96654975	[2318.66957488]	2318.66957488	810.0
rational_micZ20.19	-0.009999999999999998	0.006666666666666667	11.339467361957404	[ 965.86274235 1103.65127208 1118.61590936]	965.86274235	[2318.5991969]	2318.5991969	810.0
rational_micZ20.20	-0.009999999999999998	0.01	11.328649448280986	[ 968.83747261 1093.80583656 1129.08450237]	968.83747261	[2318.52534135]	2318.52534135	810.0
rational_micZ20.21	0.0	-0.05	11.555798423272105	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micZ20.22	0.0	-0.03333333333333334	11.555798423174586	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micZ20.23	0.0	-0.01666666666666667	11.55579842318279	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ20.24	0.0	0.0	11.555798423180466	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ20.25	0.0	0.0033333333333333335	11.555798423180434	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ20.26	0.0	0.006666666666666667	11.55579842318043	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ20.27	0.0	0.01	11.55579842318041	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ20.28	0.006666666666666667	-0.05	11.561043700139486	[918.29405127]	918.29405127	[2319.50692211]	2319.50692211	810.0
rational_micZ20.29	0.006666666666666667	-0.03333333333333334	11.588972880538346	[912.93077681]	912.93077681	[2319.59198839]	2319.59198839	810.0
rational_micZ20.30	0.006666666666666667	-0.01666666666666667	11.616389621292186	[907.56113199]	907.56113199	[2319.70342914]	2319.70342914	810.0
rational_micZ20.31	0.006666666666666667	0.0	11.642925300489193	[902.18437992]	902.18437992	[2319.86259099]	2319.86259099	810.0
rational_micZ20.32	0.006666666666666667	0.0033333333333333335	11.64808397423442	[901.10954186]	901.10954186	[2319.90343148]	2319.90343148	810.0
rational_micZ20.33	0.006666666666666667	0.006666666666666667	11.653182762047841	[900.035147]	900.035147	[2319.94798784]	2319.94798784	810.0
rational_micZ20.34	0.006666666666666667	0.01	11.658216834181276	[898.95665053]	898.95665053	[2319.99693087]	2319.99693087	810.0
rational_micZ20.35	0.013333333333333334	-0.05	11.565001248571097	[917.53973604]	917.53973604	[2319.51744789]	2319.51744789	810.0
rational_micZ20.36	0.013333333333333334	-0.03333333333333334	11.614164795823001	[908.10211838]	908.10211838	[2319.66717173]	2319.66717173	810.0
rational_micZ20.37	0.013333333333333334	-0.01666666666666667	11.6627026767955	[898.53213438]	898.53213438	[2319.86773219]	2319.86773219	810.0
rational_micZ20.38	0.013333333333333334	0.0	11.709922820840745	[888.16887465]	888.16887465	[2320.16944148]	2320.16944148	810.0
rational_micZ20.39	0.013333333333333334	0.0033333333333333335	11.719123487818138	[885.9466319]	885.9466319	[2320.25020818]	2320.25020818	810.0
rational_micZ20.40	0.013333333333333334	0.006666666666666667	11.728221459363617	[883.66971606]	883.66971606	[2320.33989165]	2320.33989165	810.0
rational_micZ20.41	0.013333333333333334	0.01	11.737206582878642	[881.33660708]	881.33660708	[2320.44026754]	2320.44026754	810.0
rational_micZ20.42	0.02	-0.05	11.568093434286478	[916.9506492]	916.9506492	[2319.52566456]	2319.52566456	810.0
rational_micZ20.43	0.02	-0.03333333333333334	11.633946416371487	[904.30133588]	904.30133588	[2319.72622602]	2319.72622602	810.0
rational_micZ20.44	0.02	-0.01666666666666667	11.699257453816337	[890.95955888]	890.95955888	[2320.00020639]	2320.00020639	810.0
rational_micZ20.45	0.02	0.0	11.763064063054715	[875.25327567]	875.25327567	[2320.43305843]	2320.43305843	810.0
rational_micZ20.46	0.02	0.0033333333333333335	11.775520788022138	[871.73684333]	871.73684333	[2320.5537666]	2320.5537666	810.0
rational_micZ20.47	0.02	0.006666666666666667	11.787843790761663	[868.07091029]	868.07091029	[2320.69017774]	2320.69017774	810.0
rational_micZ20.48	0.02	0.01	11.800017908650581	[864.24322778]	864.24322778	[2320.84575237]	2320.84575237	810.0
