exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ140.0	-0.03	-0.05	15.144157081111244	[517.9409579]	517.9409579	[984.99364602]	984.99364602	360.0
rational_micZ140.1	-0.03	-0.03333333333333334	15.19509560896725	[490.56885829]	490.56885829	[947.23714376]	947.23714376	360.0
rational_micZ140.2	-0.03	-0.01666666666666667	15.228803513385175	[466.30300432]	466.30300432	[922.05708786]	922.05708786	360.0
rational_micZ140.3	-0.03	0.0	15.251408119104624	[443.32042281]	443.32042281	[903.63928831]	903.63928831	360.0
rational_micZ140.4	-0.03	0.0033333333333333335	15.254992889019146	[438.6997434]	438.6997434	[900.51530859]	900.51530859	360.0
rational_micZ140.5	-0.03	0.006666666666666667	15.258328053789032	[434.02157361]	434.02157361	[897.52647528]	897.52647528	360.0
rational_micZ140.6	-0.03	0.01	15.261435343289907	[429.25713479]	429.25713479	[894.6330962]	894.6330962	360.0
rational_micZ140.7	-0.019999999999999997	-0.05	14.842765629179004	[588.51453178]	588.51453178	[1250.88837762]	1250.88837762	450.0
rational_micZ140.8	-0.019999999999999997	-0.03333333333333334	14.902429189725344	[562.52820894]	562.52820894	[1228.28188469]	1228.28188469	450.0
rational_micZ140.9	-0.019999999999999997	-0.01666666666666667	14.947928882005996	[544.29489046]	544.29489046	[1209.22342248]	1209.22342248	450.0
rational_micZ140.10	-0.019999999999999997	0.0	14.98217696530367	[530.08313454]	530.08313454	[1192.58130069]	1192.58130069	450.0
rational_micZ140.11	-0.019999999999999997	0.0033333333333333335	14.9879530487185	[527.46700345]	527.46700345	[1189.46951261]	1189.46951261	450.0
rational_micZ140.12	-0.019999999999999997	0.006666666666666667	14.993423444897092	[524.91223657]	524.91223657	[1186.41732373]	1186.41732373	450.0
rational_micZ140.13	-0.019999999999999997	0.01	14.99860800975814	[522.41544796]	522.41544796	[1183.41994323]	1183.41994323	450.0
rational_micZ140.14	-0.009999999999999998	-0.05	14.507053058453312	[821.89322142]	821.89322142	[1613.74410646]	1613.74410646	540.0
rational_micZ140.15	-0.009999999999999998	-0.03333333333333334	14.55204748003516	[803.9768126]	803.9768126	[1601.14331845]	1601.14331845	540.0
rational_micZ140.16	-0.009999999999999998	-0.01666666666666667	14.59147247716982	[785.29042981]	785.29042981	[1590.10759988]	1590.10759988	540.0
rational_micZ140.17	-0.009999999999999998	0.0	14.62521461552934	[655.64180803 712.3850297  761.28087826]	655.64180803	[1580.16635425]	1580.16635425	540.0
rational_micZ140.18	-0.009999999999999998	0.0033333333333333335	14.631339259464262	[647.73033815 721.1272255  753.8096646 ]	647.73033815	[1578.28061376]	1578.28061376	540.0
rational_micZ140.19	-0.009999999999999998	0.006666666666666667	14.637272201135985	[641.47637984]	641.47637984	[1576.42430904]	1576.42430904	540.0
rational_micZ140.20	-0.009999999999999998	0.01	14.643020619213816	[636.19378418]	636.19378418	[1574.59570472]	1574.59570472	540.0
rational_micZ140.21	0.0	-0.05	13.805798423180462	[919.29455393]	919.29455393	[2319.49295462]	2319.49295462	810.0
rational_micZ140.22	0.0	-0.03333333333333334	13.805798423180448	[919.29455393]	919.29455393	[2319.49295462]	2319.49295462	810.0
rational_micZ140.23	0.0	-0.01666666666666667	13.80579842318048	[919.29455393]	919.29455393	[2319.49295462]	2319.49295462	810.0
rational_micZ140.24	0.0	0.0	13.805798423175414	[919.29455394]	919.29455394	[2319.49295463]	2319.49295463	810.0
rational_micZ140.25	0.0	0.0033333333333333335	13.805798423174721	[919.29455394]	919.29455394	[2319.49295463]	2319.49295463	810.0
rational_micZ140.26	0.0	0.006666666666666667	13.80579842317421	[919.29455394]	919.29455394	[2319.49295463]	2319.49295463	810.0
rational_micZ140.27	0.0	0.01	13.805798423173826	[919.29455394]	919.29455394	[2319.49295463]	2319.49295463	810.0
rational_micZ140.28	0.006666666666666667	-0.05	12.80196282888676	[1222.29474797]	1222.29474797	[3419.24993022]	3419.24993022	1260.0
rational_micZ140.29	0.006666666666666667	-0.03333333333333334	12.753263557658638	[1231.71334868]	1231.71334868	[3427.6920392]	3427.6920392	1260.0
rational_micZ140.30	0.006666666666666667	-0.01666666666666667	12.701171866543726	[1240.32714168]	1240.32714168	[3436.48433248]	3436.48433248	1260.0
rational_micZ140.31	0.006666666666666667	0.0	12.645686869386697	[1248.58133093]	1248.58133093	[3446.0348136]	3446.0348136	1260.0
rational_micZ140.32	0.006666666666666667	0.0033333333333333335	12.634126971201212	[1250.21062916]	1250.21062916	[3448.07244593 3636.13121678 3660.16716803]	3448.07244593	1260.0
rational_micZ140.33	0.006666666666666667	0.006666666666666667	12.62239503851026	[1251.83592754]	1251.83592754	[3450.16179268 3628.00489695 3668.97754584]	3450.16179268	1260.0
rational_micZ140.34	0.006666666666666667	0.01	12.61048233161393	[1253.4583472]	1253.4583472	[3452.30755381 3622.42031403 3675.24914138]	3452.30755381	1260.0
rational_micZ140.35	0.013333333333333334	-0.05	12.169055849102588	[1330.74894098 1394.74754646 1601.7733883 ]	1330.74894098	[]	N/A	1440.0
rational_micZ140.36	0.013333333333333334	-0.03333333333333334	12.046554794806283	[1617.39340029 1830.15725923 1893.41860385]	1617.39340029	[]	N/A	1440.0
rational_micZ140.37	0.013333333333333334	-0.01666666666666667	11.905665359111826	[1633.48479023 1805.59224368 1923.90473191]	1633.48479023	[]	N/A	1440.0
rational_micZ140.38	0.013333333333333334	0.0	11.741538110533146	[1653.71083956 1786.4321846  1947.0795861 ]	1653.71083956	[]	N/A	1440.0
rational_micZ140.39	0.013333333333333334	0.0033333333333333335	11.705227217436347	[1658.63697591 1781.79664891 1951.40491828]	1658.63697591	[]	N/A	1440.0
rational_micZ140.40	0.013333333333333334	0.006666666666666667	11.667558275195363	[1664.03059711 1776.6893245  1955.67293436]	1664.03059711	[]	N/A	1440.0
rational_micZ140.41	0.013333333333333334	0.01	11.628431550316524	[1670.04253746 1770.95944289 1959.89697065]	1670.04253746	[]	N/A	1440.0
rational_micZ140.42	0.02	-0.05	11.357226905266977	[2409.76679886 2450.37417491 2745.34296729 2831.99236197 3094.83488943 3200.66240345 3449.0581793  3565.2664298  3805.68586062 3927.90124178 4163.6659499  4289.46092888 4522.43995165 4650.40092845 4881.69021796 5010.9733204  5241.2296795  5371.32401602 5600.94600957 5731.53968892]	2409.76679886	[]	N/A	1440.0
rational_micZ140.43	0.02	-0.03333333333333334	11.084732257089591	[3485.61432137 3531.06707093 3838.42753889 3897.55327572 4194.65535255 4260.88621327 4552.48796289 4622.7792418  4911.19641684 4983.89974497 5270.41257751 5344.57705177 5629.93202182 5704.99128346]	3485.61432137	[]	N/A	1440.0
rational_micZ140.44	0.02	-0.01666666666666667	10.747046610850242	[]	N/A	[]	N/A	1440.0
rational_micZ140.45	0.02	0.0	10.315562913337391	[]	N/A	[]	N/A	1440.0
rational_micZ140.46	0.02	0.0033333333333333335	10.21395657308045	[]	N/A	[]	N/A	1440.0
rational_micZ140.47	0.02	0.006666666666666667	10.106026299057794	[]	N/A	[]	N/A	1440.0
rational_micZ140.48	0.02	0.01	9.99110538351273	[]	N/A	[]	N/A	1440.0
