exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ50.0	-0.03	-0.05	13.888109069629206	[914.6391808]	914.6391808	[2315.84776511]	2315.84776511	810.0
rational_micZ50.1	-0.03	-0.03333333333333334	13.92643876341068	[911.09153059]	911.09153059	[2312.93144953]	2312.93144953	810.0
rational_micZ50.2	-0.03	-0.01666666666666667	13.973399356778835	[905.5438304]	905.5438304	[2308.12260897]	2308.12260897	810.0
rational_micZ50.3	-0.03	0.0	14.024131581760486	[898.16712483]	898.16712483	[2301.23681126]	2301.23681126	810.0
rational_micZ50.4	-0.03	0.0033333333333333335	14.034248806302724	[896.4991056]	896.4991056	[2299.63203734]	2299.63203734	810.0
rational_micZ50.5	-0.03	0.006666666666666667	14.044268275376012	[894.76859431]	894.76859431	[2297.96014687]	2297.96014687	810.0
rational_micZ50.6	-0.03	0.01	14.054159584645937	[892.98091037]	892.98091037	[2296.22542746]	2296.22542746	810.0
rational_micZ50.7	-0.019999999999999997	-0.05	13.852386034500547	[916.8255588]	916.8255588	[2317.5834729]	2317.5834729	810.0
rational_micZ50.8	-0.019999999999999997	-0.03333333333333334	13.87618688850224	[914.85535095]	914.85535095	[2316.01704769]	2316.01704769	810.0
rational_micZ50.9	-0.019999999999999997	-0.01666666666666667	13.908049932896194	[911.51285454]	911.51285454	[2313.27353469]	2313.27353469	810.0
rational_micZ50.10	-0.019999999999999997	0.0	13.945979133124325	[906.6401883]	906.6401883	[2309.07212235]	2309.07212235	810.0
rational_micZ50.11	-0.019999999999999997	0.0033333333333333335	13.953985735110518	[905.50463582]	905.50463582	[2308.05774899]	2308.05774899	810.0
rational_micZ50.12	-0.019999999999999997	0.006666666666666667	13.96206034966077	[904.32528185]	904.32528185	[2306.98967629]	2306.98967629	810.0
rational_micZ50.13	-0.019999999999999997	0.01	13.97017346626756	[903.10713977]	903.10713977	[2305.87063913]	2305.87063913	810.0
rational_micZ50.14	-0.009999999999999998	-0.05	13.825657876094068	[918.29183145]	918.29183145	[2318.72386059]	2318.72386059	810.0
rational_micZ50.15	-0.009999999999999998	-0.03333333333333334	13.836549109472216	[917.46141808]	917.46141808	[2318.0785636]	2318.0785636	810.0
rational_micZ50.16	-0.009999999999999998	-0.01666666666666667	13.8523436532295	[915.94320312]	915.94320312	[2316.8805215]	2316.8805215	810.0
rational_micZ50.17	-0.009999999999999998	0.0	13.8730422266857	[913.51077183]	913.51077183	[2314.91154608]	2314.91154608	810.0
rational_micZ50.18	-0.009999999999999998	0.0033333333333333335	13.877680472709297	[912.91103232]	912.91103232	[2314.4168882]	2314.4168882	810.0
rational_micZ50.19	-0.009999999999999998	0.006666666666666667	13.882453895991098	[912.27624899]	912.27624899	[2313.8893283]	2313.8893283	810.0
rational_micZ50.20	-0.009999999999999998	0.01	13.887347254204794	[911.60843774]	911.60843774	[2313.3298645]	2313.3298645	810.0
rational_micZ50.21	0.0	-0.05	13.805798423169126	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micZ50.22	0.0	-0.03333333333333334	13.805798423179613	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ50.23	0.0	-0.01666666666666667	13.805798423179043	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.24	0.0	0.0	13.805798423180297	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.25	0.0	0.0033333333333333335	13.805798423187046	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.26	0.0	0.006666666666666667	13.805798423186111	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.27	0.0	0.01	13.80579842318073	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ50.28	0.006666666666666667	-0.05	13.795487547486825	[919.78714815]	919.78714815	[2319.86760125]	2319.86760125	810.0
rational_micZ50.29	0.006666666666666667	-0.03333333333333334	13.789325532985778	[920.21582697]	920.21582697	[2320.1925618]	2320.1925618	810.0
rational_micZ50.30	0.006666666666666667	-0.01666666666666667	13.77929680538739	[921.09024417]	921.09024417	[2320.85292907]	2320.85292907	810.0
rational_micZ50.31	0.006666666666666667	0.0	13.76395582321577	[922.71967759]	922.71967759	[2322.06989784]	2322.06989784	810.0
rational_micZ50.32	0.006666666666666667	0.0033333333333333335	13.760145072396316	[923.16185026]	923.16185026	[2322.39689184]	2322.39689184	810.0
rational_micZ50.33	0.006666666666666667	0.006666666666666667	13.756071543987627	[923.64648282]	923.64648282	[2322.75366226]	2322.75366226	810.0
rational_micZ50.34	0.006666666666666667	0.01	13.751731041849627	[924.1744148]	924.1744148	[2323.14035817]	2323.14035817	810.0
rational_micZ50.35	0.013333333333333334	-0.05	13.78701848202426	[920.17761363]	920.17761363	[2320.16309367]	2320.16309367	810.0
rational_micZ50.36	0.013333333333333334	-0.03333333333333334	13.775490762106742	[920.95927761]	920.95927761	[2320.75185854]	2320.75185854	810.0
rational_micZ50.37	0.013333333333333334	-0.01666666666666667	13.755953183506923	[922.61664744]	922.61664744	[2321.98759141]	2321.98759141	810.0
rational_micZ50.38	0.013333333333333334	0.0	13.724245097588113	[925.88595831]	925.88595831	[2324.36535013]	2324.36535013	810.0
rational_micZ50.39	0.013333333333333334	0.0033333333333333335	13.71603426470258	[926.80748791]	926.80748791	[2325.02090625]	2325.02090625	810.0
rational_micZ50.40	0.013333333333333334	0.006666666666666667	13.707111682294556	[927.83272111]	927.83272111	[2325.74264521]	2325.74264521	810.0
rational_micZ50.41	0.013333333333333334	0.01	13.697439270154135	[928.96695857]	928.96695857	[2326.53181165]	2326.53181165	810.0
