episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	9.71243204793927	895.8679188148186	N/A	1233.0
1	1.0	9.26769687174165	4225.8467971983455	N/A	1224.0
2	1.0	11.009055474000062	1198.1754196001805	1685.042678109837	1341.0
3	1.0	14.660931133101508	872.9431998698523	4158.641735126755	1413.0
4	1.0	8.800061564139073	2005.5567337257044	N/A	1161.0
5	1.0	8.843936776018069	4557.272893289689	N/A	1233.0
6	1.0	11.603965177023762	614.3890182726907	7099.781541250247	1368.0
7	1.0	15.989479489192492	2315.0149943453025	3020.3018000257316	1341.0
8	1.0	14.39795450954442	1633.6439893906545	2669.2315184961017	1638.0
9	1.0	0.0	N/A	N/A	0.0
10	1.0	11.925971127880661	2425.065630269421	N/A	1386.0
11	1.0	8.753388019925904	2313.693985758102	N/A	1125.0
12	1.0	0.0	N/A	N/A	0.0
13	1.0	7.586947011814241	803.1459674118762	6969.8673415101	1116.0
14	1.0	10.875647834904132	1257.8455776002543	1900.348465140494	1233.0
15	1.0	9.55829415841471	4098.31253889054	N/A	1206.0
16	1.0	11.712624029072604	4831.734320188467	N/A	1377.0
17	1.0	7.580482465165428	4523.1782943224025	N/A	1071.0
18	1.0	10.869301403101979	2033.1388287958384	3092.267970242974	1242.0
19	1.0	11.286517114581443	2333.010845688861	6262.266298246624	1386.0
20	1.0	0.0	N/A	N/A	0.0
21	1.0	0.0	N/A	N/A	0.0
22	1.0	6.7649814378987445	N/A	N/A	1053.0
23	1.0	6.556733130418695	2007.9076472867912	N/A	918.0
24	1.0	11.49226992892341	872.3680515865921	3531.492344888257	1323.0
25	1.0	14.93440591969569	1644.2798674458163	3052.8183882135427	1530.0
26	1.0	10.743077824442606	3510.7424466616762	5669.25939659263	1251.0
27	1.0	8.113520625227656	2757.4163178293734	N/A	1161.0
28	1.0	9.311185421019605	1136.6678491875762	N/A	1161.0
29	1.0	0.0	N/A	N/A	0.0
30	1.0	8.146214990457878	1306.3727952377867	6275.862144172083	1044.0
31	1.0	9.676061081888475	4174.426390305889	N/A	1215.0
32	1.0	14.939532357255846	903.0791502625343	1506.947244629726	1548.0
33	1.0	8.258079047173892	1481.3818236807306	N/A	1152.0
34	1.0	7.977038725501019	818.5577687842972	N/A	1071.0
35	1.0	8.756915044501559	895.8679188148186	N/A	1143.0
36	1.0	0.0	N/A	N/A	0.0
37	1.0	7.435548124741231	1628.8270214423517	N/A	1089.0
38	1.0	15.63480184939622	1735.5119893476651	3479.329926209247	1278.0
39	1.0	12.014500008269495	3733.3962430496704	4409.7330773872045	1377.0
40	1.0	12.477866481110176	1605.8834601098338	5211.706765488503	1332.0
41	1.0	7.765407863091873	4513.879729616483	N/A	1098.0
42	1.0	14.217313568786118	614.3890182726907	N/A	1494.0
43	1.0	0.0	N/A	N/A	0.0
44	1.0	10.431994668098739	1266.4429857597322	5063.51088675626	1296.0
45	1.0	0.0	N/A	N/A	0.0
46	1.0	8.6536007217879	1286.275226647593	2012.2936494910057	1089.0
47	1.0	9.80671902824972	865.7269323839099	N/A	1206.0
48	1.0	0.0	N/A	N/A	0.0
49	1.0	8.621284887255369	614.3890182726907	N/A	1125.0
50	1.0	0.0	N/A	N/A	0.0
51	1.0	10.508180246288156	614.3890182726907	N/A	1278.0
52	1.0	0.0	N/A	N/A	0.0
53	1.0	9.069155657669581	1564.8343040796071	N/A	1170.0
54	1.0	9.08862908988771	3560.416343547026	4170.3190616197	1161.0
55	1.0	11.715685772592785	3307.23616063959	3797.705672529858	1305.0
56	1.0	0.0	N/A	N/A	0.0
57	1.0	10.77823694789065	1922.9110763587723	3043.404529529516	1305.0
58	1.0	11.657549999895746	842.1670203658296	N/A	1296.0
59	1.0	8.766528603076113	3504.043358708293	N/A	1161.0
60	1.0	9.812800372250356	1341.8243329585268	N/A	1233.0
61	1.0	0.0	N/A	N/A	0.0
62	1.0	14.060257406226768	1529.6886902787132	4777.762200199524	1377.0
63	1.0	9.954733515779896	1223.978531174033	N/A	1215.0
64	1.0	9.449369457499543	842.1670203658296	N/A	1233.0
65	1.0	6.1875968736087295	5882.938414134778	N/A	963.0
66	1.0	12.740392242616057	872.9431998698523	6306.207255768654	1341.0
67	1.0	15.994608154874712	1249.12656167497	1956.8876327307578	1206.0
68	1.0	14.374881979553884	1756.2422332019719	4057.6863181484828	1539.0
69	1.0	3.8847986884836017	N/A	N/A	783.0
70	1.0	0.0	N/A	N/A	0.0
71	1.0	10.045718662611101	2745.353832361498	N/A	1233.0
72	1.0	5.237127906732412	1650.9279508074628	N/A	918.0
73	1.0	12.351593346372994	3843.5594398314747	4603.836709379724	1359.0
74	1.0	16.096206485465345	1191.3687379803546	2638.4150762361237	1476.0
75	1.0	8.000771830801163	4055.1079052834225	4779.559273864137	1071.0
76	1.0	10.733007497555278	929.2580436251384	N/A	1233.0
77	1.0	0.0	N/A	N/A	0.0
78	1.0	11.138180767072729	2359.6707377973084	N/A	1305.0
79	1.0	11.62054650612288	2781.7716112821336	N/A	1332.0
80	1.0	5.962457294378774	N/A	N/A	936.0
81	1.0	10.87368657299496	3672.924473409971	4346.168263415282	1224.0
82	1.0	10.12161477809491	3491.1793202069935	4129.025664390198	1188.0
83	1.0	9.351586811054812	903.0791502625343	N/A	1134.0
84	1.0	8.201793443045823	1260.6406228274654	N/A	1197.0
85	1.0	0.0	N/A	N/A	0.0
86	1.0	12.71251396399252	1613.5370215220905	N/A	1368.0
87	1.0	8.509356996001836	1691.5526667554593	N/A	1143.0
88	1.0	5.5028486764377185	N/A	N/A	990.0
89	1.0	13.224183724639472	2675.41917883886	4209.714962286588	1395.0
90	1.0	9.242608742027645	1949.6015195529403	2764.922762644568	1125.0
91	1.0	14.810386204996915	2942.9317769642566	3472.7100387486116	1566.0
92	1.0	8.187875402360623	3125.9654730873335	N/A	1053.0
93	1.0	11.307387404151344	984.4271374131531	N/A	1269.0
94	1.0	4.1065307291318405	N/A	N/A	774.0
95	1.0	10.638165499497005	2303.4416683469412	N/A	1242.0
96	1.0	0.0	N/A	N/A	0.0
97	1.0	0.0	N/A	N/A	0.0
98	1.0	0.0	N/A	N/A	0.0
99	1.0	7.6907735107373085	5971.783508937913	N/A	1071.0
100	1.0	11.730882236881389	4170.618114380284	N/A	1359.0
101	1.0	8.883302678737783	1950.7794008336055	N/A	1188.0
102	1.0	0.0	N/A	N/A	0.0
103	1.0	0.0	N/A	N/A	0.0
104	1.0	8.319061006933078	1274.5821230878055	N/A	1116.0
105	1.0	10.239209772469657	5990.756909447139	N/A	1296.0
106	1.0	15.762372358488042	1243.6325250224875	3465.1596548965113	1377.0
107	1.0	15.388894086676343	1312.8684097082676	2023.4053091694138	1359.0
108	1.0	0.0	N/A	N/A	0.0
109	1.0	12.021463361524695	1530.3892415808764	2117.932750834777	1314.0
110	1.0	10.79004975559845	1280.1456028744303	N/A	1242.0
111	1.0	9.95637945570899	2713.1543774180705	N/A	1305.0
112	1.0	9.12414951691264	1674.8297709843016	N/A	1188.0
113	1.0	9.577620666178998	3073.808838323172	6962.0670020958005	1206.0
114	1.0	8.848163606650997	4491.290011554565	6675.481690672957	1269.0
115	1.0	11.38181879724453	842.1670203658296	N/A	1296.0
116	1.0	7.426354394098936	614.3890182726907	N/A	1044.0
117	1.0	7.044228376560605	4799.564068338353	N/A	1026.0
118	1.0	6.9673867873235755	2344.369351553432	N/A	981.0
119	1.0	7.626293569203255	1664.645536908651	N/A	1098.0
120	1.0	11.591506100909864	1300.811553665748	N/A	1260.0
121	1.0	10.094461476847792	4541.6825184128775	5247.167202015212	1224.0
122	1.0	11.828322127563995	3424.4979241510136	4768.782829841104	1314.0
123	1.0	10.275564253571533	903.0791502625343	N/A	1152.0
124	1.0	0.0	N/A	N/A	0.0
125	1.0	10.750209981225497	1299.151696641155	1929.0802971660391	1296.0
126	1.0	13.721408116415104	614.3890182726907	6615.707357390311	1440.0
127	1.0	13.136907314032744	2774.0366299392126	3450.0834334439432	1431.0
128	1.0	12.304057830860755	1486.1656604172256	3711.418934959656	1296.0
129	1.0	0.0	N/A	N/A	0.0
130	1.0	9.271061411755962	4532.104605401623	5253.3779800993	1197.0
131	1.0	12.393522931336394	2376.5112877858182	N/A	1341.0
132	1.0	11.896020994769486	895.8679188148186	5536.324315340058	1350.0
133	1.0	10.139588505569947	6244.992728737402	N/A	1260.0
134	1.0	12.352802084100516	1922.6392157193802	5217.146519681544	1476.0
135	1.0	12.845055247724483	1237.2069300666012	2369.7799453670527	1377.0
136	1.0	0.0	N/A	N/A	0.0
137	1.0	10.95839504137274	3373.94742202395	N/A	1296.0
138	1.0	0.0	N/A	N/A	0.0
139	1.0	9.034066959853373	6563.759823257698	N/A	1233.0
140	1.0	9.804472377068574	3768.4739800394545	N/A	1233.0
141	1.0	9.50317644347031	1682.8534770680167	N/A	1260.0
142	1.0	9.651943828413277	2434.1287038680007	N/A	1206.0
143	1.0	7.328584549501684	2032.6626659051421	N/A	1026.0
144	1.0	11.37787590553349	938.3394698036803	N/A	1350.0
145	1.0	9.762437917318985	4200.178171776393	N/A	1224.0
146	1.0	8.746735242058042	3840.1959242068715	4755.609177019774	1080.0
147	1.0	11.902307494988271	1933.8945629493699	4782.140355576087	1386.0
148	1.0	0.0	N/A	N/A	0.0
149	1.0	0.0	N/A	N/A	0.0
150	1.0	9.925930877851124	1656.821353571729	N/A	1224.0
151	1.0	12.988247371124123	2015.91246122086	5896.7262953357495	1539.0
152	1.0	0.0	N/A	N/A	0.0
153	1.0	11.823684395441152	1519.2002750245533	4181.689660468743	1332.0
154	1.0	8.377767236763496	1481.3818236807306	N/A	1089.0
155	1.0	7.811802862552361	948.140927604432	N/A	1098.0
156	1.0	11.097366606591986	1692.6266747258783	4492.664646277868	1233.0
157	1.0	8.311621024401996	1310.4889445063286	N/A	1098.0
158	1.0	0.0	N/A	N/A	0.0
159	1.0	0.0	N/A	N/A	0.0
160	1.0	8.371475975093327	2006.638053649527	N/A	1170.0
161	1.0	9.123811609664642	4487.456257795509	N/A	1197.0
162	1.0	0.0	N/A	N/A	0.0
163	1.0	0.0	N/A	N/A	0.0
164	1.0	10.905923796567002	984.4271374131531	N/A	1260.0
165	1.0	12.273926759475195	842.1670203658296	N/A	1350.0
166	1.0	9.502460889492731	1286.275226647593	N/A	1215.0
167	1.0	0.0	N/A	N/A	0.0
168	1.0	0.0	N/A	N/A	0.0
169	1.0	7.0965452331904	N/A	N/A	1125.0
170	1.0	0.0	N/A	N/A	0.0
171	1.0	7.126827529396774	6331.1083943466265	N/A	1071.0
172	1.0	7.271582691415297	N/A	N/A	1026.0
173	1.0	9.912506637835707	2103.666215468527	N/A	1278.0
174	1.0	6.697841304186112	4850.53281845159	N/A	972.0
175	1.0	0.0	N/A	N/A	0.0
176	1.0	10.012650874372676	1359.4100393347449	N/A	1305.0
177	1.0	11.025253204869761	2718.5127932152845	N/A	1278.0
178	1.0	11.788075473350856	1507.9630156299352	2032.1097990769001	1314.0
179	1.0	0.0	N/A	N/A	0.0
180	1.0	15.51319828562457	1178.9118349983278	1679.996401106644	1548.0
181	1.0	14.032373491172185	803.1459674118762	4863.097166499473	1386.0
182	1.0	13.155146933134873	1328.0915531898954	2054.2762338426523	1395.0
183	1.0	6.551834861457342	N/A	N/A	1026.0
184	1.0	6.208289550734734	4137.62703554135	N/A	936.0
185	1.0	11.267784401903754	2012.1646027223378	7100.94481140499	1395.0
186	1.0	10.239789248010329	1569.0445191136296	N/A	1305.0
