exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_micZ100.0	-0.03	-0.05	[750.49402876]	750.49402876
rational_micZ100.1	-0.03	-0.03333333333333334	[581.60585422]	581.60585422
rational_micZ100.2	-0.03	-0.01666666666666667	[570.26853745]	570.26853745
rational_micZ100.3	-0.03	0.0	[565.53482048]	565.53482048
rational_micZ100.4	-0.03	0.0033333333333333335	[564.89734211]	564.89734211
rational_micZ100.5	-0.03	0.006666666666666667	[564.32544169]	564.32544169
rational_micZ100.6	-0.03	0.01	[563.80943521]	563.80943521
rational_micZ100.7	-0.019999999999999997	-0.05	[839.73584586]	839.73584586
rational_micZ100.8	-0.019999999999999997	-0.03333333333333334	[789.66918815]	789.66918815
rational_micZ100.9	-0.019999999999999997	-0.01666666666666667	[772.6797656]	772.6797656
rational_micZ100.10	-0.019999999999999997	0.0	[761.6206734]	761.6206734
rational_micZ100.11	-0.019999999999999997	0.0033333333333333335	[759.72762649]	759.72762649
rational_micZ100.12	-0.019999999999999997	0.006666666666666667	[757.89819802]	757.89819802
rational_micZ100.13	-0.019999999999999997	0.01	[756.1179517]	756.1179517
rational_micZ100.14	-0.009999999999999998	-0.05	[885.27216384]	885.27216384
rational_micZ100.15	-0.009999999999999998	-0.03333333333333334	[866.60575413]	866.60575413
rational_micZ100.16	-0.009999999999999998	-0.01666666666666667	[861.52265817]	861.52265817
rational_micZ100.17	-0.009999999999999998	0.0	[858.65949446]	858.65949446
rational_micZ100.18	-0.009999999999999998	0.0033333333333333335	[858.21714735]	858.21714735
rational_micZ100.19	-0.009999999999999998	0.006666666666666667	[857.80569086]	857.80569086
rational_micZ100.20	-0.009999999999999998	0.01	[857.42159398]	857.42159398
rational_micZ100.21	0.0	-0.05	[919.29455395]	919.29455395
rational_micZ100.22	0.0	-0.03333333333333334	[919.29455393]	919.29455393
rational_micZ100.23	0.0	-0.01666666666666667	[919.29455393]	919.29455393
rational_micZ100.24	0.0	0.0	[919.29455393]	919.29455393
rational_micZ100.25	0.0	0.0033333333333333335	[919.29455393]	919.29455393
rational_micZ100.26	0.0	0.006666666666666667	[919.29455393]	919.29455393
rational_micZ100.27	0.0	0.01	[919.29455393]	919.29455393
rational_micZ100.28	0.006666666666666667	-0.05	[942.78954348]	942.78954348
rational_micZ100.29	0.006666666666666667	-0.03333333333333334	[ 958.16979471 1088.91200198 1149.0593968 ]	958.16979471
rational_micZ100.30	0.006666666666666667	-0.01666666666666667	[ 962.84482637 1082.29146447 1157.08524025]	962.84482637
rational_micZ100.31	0.006666666666666667	0.0	[ 966.02790734 1078.50725844 1161.85741041]	966.02790734
rational_micZ100.32	0.006666666666666667	0.0033333333333333335	[ 966.57606504 1077.86141729 1162.6385263 ]	966.57606504
rational_micZ100.33	0.006666666666666667	0.006666666666666667	[ 967.10240885 1077.23714337 1163.37891869]	967.10240885
rational_micZ100.34	0.006666666666666667	0.01	[ 967.60907413 1076.63222406 1164.08320671]	967.60907413
rational_micZ100.35	0.013333333333333334	-0.05	[ 972.16364298 1064.00938188 1188.85885453]	972.16364298
rational_micZ100.36	0.013333333333333334	-0.03333333333333334	[1215.48558804]	1215.48558804
rational_micZ100.37	0.013333333333333334	-0.01666666666666667	[1222.18114]	1222.18114
rational_micZ100.38	0.013333333333333334	0.0	[1226.85894647]	1226.85894647
rational_micZ100.39	0.013333333333333334	0.0033333333333333335	[1227.67537077]	1227.67537077
rational_micZ100.40	0.013333333333333334	0.006666666666666667	[1228.46271797]	1228.46271797
rational_micZ100.41	0.013333333333333334	0.01	[1229.22404202]	1229.22404202
rational_micZ100.42	0.02	-0.05	[1229.05227144]	1229.05227144
rational_micZ100.43	0.02	-0.03333333333333334	[1255.44172849]	1255.44172849
rational_micZ100.44	0.02	-0.01666666666666667	[1262.49972225]	1262.49972225
rational_micZ100.45	0.02	0.0	[1267.96058385]	1267.96058385
rational_micZ100.46	0.02	0.0033333333333333335	[1268.96982374]	1268.96982374
rational_micZ100.47	0.02	0.006666666666666667	[1269.96026344]	1269.96026344
rational_micZ100.48	0.02	0.01	[1270.9345452]	1270.9345452
