alpha_EZ	alpha_ZE	eqE	eqZ	eqEZ
-0.041614882381720945	-0.05419266152056678	stable	stable	unstable
-0.041614882381720945	-0.05527651475097812	stable	stable	unstable
-0.041614882381720945	-0.05636036798138946	stable	stable	unstable
-0.041614882381720945	-0.057444221211800796	stable	stable	unstable
-0.041614882381720945	-0.058528074442212134	stable	stable	unstable
-0.041614882381720945	-0.05961192767262347	stable	stable	unstable
-0.041614882381720945	-0.06069578090303481	stable	stable	unstable
-0.041614882381720945	-0.06177963413344615	stable	stable	unstable
-0.041614882381720945	-0.0628634873638575	stable	stable	unstable
-0.041614882381720945	-0.06394734059426882	stable	stable	unstable
-0.041614882381720945	-0.06503119382468017	stable	stable	unstable
-0.041614882381720945	-0.0661150470550915	stable	stable	unstable
-0.041614882381720945	-0.06719890028550285	stable	stable	unstable
-0.041614882381720945	-0.06828275351591417	stable	stable	unstable
-0.041614882381720945	-0.06936660674632553	stable	stable	unstable
-0.041614882381720945	-0.07045045997673685	stable	stable	unstable
-0.041614882381720945	-0.0715343132071482	stable	stable	unstable
-0.041614882381720945	-0.07261816643755953	stable	stable	unstable
-0.041614882381720945	-0.07370201966797088	stable	stable	unstable
-0.041614882381720945	-0.0747858728983822	stable	stable	unstable
-0.041614882381720945	-0.07586972612879356	stable	stable	unstable
-0.041614882381720945	-0.07695357935920488	stable	stable	unstable
-0.041614882381720945	-0.07803743258961623	stable	stable	unstable
-0.041614882381720945	-0.07912128582002756	stable	stable	unstable
-0.041614882381720945	-0.08020513905043891	stable	stable	unstable
-0.041614882381720945	-0.05310880829015544	stable	stable	unbounded
-0.041614882381720945	-0.0520249550597441	unstable	stable	unstable
-0.041614882381720945	-0.05094110182933277	unstable	stable	unstable
-0.041614882381720945	-0.04985724859892143	unstable	stable	unstable
-0.041614882381720945	-0.0487733953685101	unstable	stable	unstable
-0.041614882381720945	-0.04768954213809876	unstable	stable	unstable
-0.041614882381720945	-0.04660568890768743	unstable	stable	unstable
-0.041614882381720945	-0.04552183567727609	unstable	stable	unstable
-0.041614882381720945	-0.044437982446864754	unstable	stable	unstable
-0.041614882381720945	-0.04335412921645342	unstable	stable	unstable
-0.041614882381720945	-0.04227027598604209	unstable	stable	unstable
